	model	lang	pairid	expected	unexpected	diff	acc
0	sae model	sae	0	3.0078175008296966	3.2106940686702727	-0.20287656784057617	True
1	sae model	sae	2	3.3647187650203705	3.3375514924526213	0.0271672725677492	False
2	sae model	sae	4	2.6932908475399016	3.5185465276241303	-0.8252556800842288	True
3	sae model	sae	6	3.0078175008296966	3.410096162557602	-0.4022786617279053	True
4	sae model	sae	8	2.6932908475399016	3.410096162557602	-0.7168053150177003	True
5	sae model	sae	10	3.5724283158779144	3.5185465276241303	0.05388178825378409	False
6	sae model	sae	12	3.3647187650203705	3.410096162557602	-0.045377397537231356	True
7	sae model	sae	14	3.5724283158779144	3.410096162557602	0.1623321533203126	False
8	sae model	sae	16	2.6932908475399016	3.42800058722496	-0.7347097396850586	True
9	sae model	sae	18	3.0078175008296966	3.347660630941391	-0.3398431301116944	True
10	sae model	sae	20	2.6932908475399016	3.347660630941391	-0.6543697834014894	True
11	sae model	sae	22	3.468727868795395	3.42800058722496	0.040727281570434926	False
12	sae model	sae	24	3.3647187650203705	3.347660630941391	0.017058134078979492	False
13	sae model	sae	26	3.468727868795395	3.347660630941391	0.12106723785400408	False
14	sae model	sae	28	3.120744746923447	3.2951649606227873	-0.17442021369934047	True
15	sae model	sae	30	3.380159395933151	3.3604110181331635	0.019748377799987615	False
16	sae model	sae	32	2.6932908475399016	3.52671565413475	-0.8334248065948486	True
17	sae model	sae	34	3.120744746923447	3.536310762166977	-0.4155660152435301	True
18	sae model	sae	36	2.6932908475399016	3.536310762166977	-0.8430199146270754	True
19	sae model	sae	38	3.5724283158779144	3.52671565413475	0.04571266174316424	False
20	sae model	sae	40	3.380159395933151	3.536310762166977	-0.15615136623382586	True
21	sae model	sae	42	3.5724283158779144	3.536310762166977	0.0361175537109375	False
22	sae model	sae	44	2.6932908475399016	3.4289970338344573	-0.7357061862945558	True
23	sae model	sae	46	3.120744746923447	3.4465660989284514	-0.3258213520050046	True
24	sae model	sae	48	2.6932908475399016	3.4465660989284514	-0.7532752513885499	True
25	sae model	sae	50	3.468727868795395	3.4289970338344573	0.039730834960937766	False
26	sae model	sae	52	3.380159395933151	3.4465660989284514	-0.06640670299530038	True
27	sae model	sae	54	3.468727868795395	3.4465660989284514	0.022161769866943626	False
28	sae model	sae	56	3.100105232000351	3.284946745634079	-0.18484151363372803	True
29	sae model	sae	58	3.3989841639995575	3.330021399259567	0.06896276473999041	False
30	sae model	sae	60	2.6932908475399016	3.55659641623497	-0.8633055686950684	True
31	sae model	sae	62	3.100105232000351	3.5304990708827972	-0.4303938388824462	True
32	sae model	sae	64	2.6932908475399016	3.5304990708827972	-0.8372082233428957	True
33	sae model	sae	66	3.5724283158779144	3.55659641623497	0.015831899642944514	False
34	sae model	sae	68	3.3989841639995575	3.5304990708827972	-0.13151490688323975	True
35	sae model	sae	70	3.5724283158779144	3.5304990708827972	0.04192924499511719	False
36	sae model	sae	72	2.6932908475399016	3.482866805791855	-0.7895759582519535	True
37	sae model	sae	74	3.100105232000351	3.4456781327724455	-0.34557290077209446	True
38	sae model	sae	76	2.6932908475399016	3.4456781327724455	-0.752387285232544	True
39	sae model	sae	78	3.468727868795395	3.482866805791855	-0.014138936996459961	True
40	sae model	sae	80	3.3989841639995575	3.4456781327724455	-0.046693968772888006	True
41	sae model	sae	82	3.468727868795395	3.4456781327724455	0.023049736022949574	False
42	sae model	sae	84	2.5620473325252533	3.7562881410121918	-1.1942408084869385	True
43	sae model	sae	86	2.783911499381065	4.134461516141892	-1.3505500167608266	True
44	sae model	sae	88	2.955457204580307	2.6932908475399016	0.26216635704040536	False
45	sae model	sae	90	2.955457204580307	2.6932908475399016	0.26216635704040536	False
46	sae model	sae	92	3.305231064558029	3.5724283158779144	-0.26719725131988525	True
47	sae model	sae	94	3.305231064558029	3.5724283158779144	-0.26719725131988525	True
48	sae model	sae	96	2.955457204580307	2.6932908475399016	0.26216635704040536	False
49	sae model	sae	98	2.955457204580307	2.6932908475399016	0.26216635704040536	False
50	sae model	sae	100	3.305231064558029	3.468727868795395	-0.1634968042373659	True
51	sae model	sae	102	3.305231064558029	3.468727868795395	-0.1634968042373659	True
52	sae model	sae	104	2.6317266881465913	3.7892167985439302	-1.157490110397339	True
53	sae model	sae	106	2.8144274085760115	4.235652464628219	-1.421225056052208	True
54	sae model	sae	108	2.9993726670742036	2.6932908475399016	0.306081819534302	False
55	sae model	sae	110	2.9993726670742036	2.6932908475399016	0.306081819534302	False
56	sae model	sae	112	3.102320045232773	3.5724283158779144	-0.4701082706451416	True
57	sae model	sae	114	3.102320045232773	3.5724283158779144	-0.4701082706451416	True
58	sae model	sae	116	2.9993726670742036	2.6932908475399016	0.306081819534302	False
59	sae model	sae	118	2.9993726670742036	2.6932908475399016	0.306081819534302	False
60	sae model	sae	120	3.102320045232773	3.468727868795395	-0.36640782356262225	True
61	sae model	sae	122	3.102320045232773	3.468727868795395	-0.36640782356262225	True
62	sae model	sae	124	3.0078175008296966	3.2106940686702727	-0.20287656784057617	True
63	sae model	sae	126	3.3647187650203705	3.3375514924526213	0.0271672725677492	False
64	sae model	sae	128	2.6932908475399016	3.5185465276241303	-0.8252556800842288	True
65	sae model	sae	130	3.0078175008296966	3.410096162557602	-0.4022786617279053	True
66	sae model	sae	132	2.6932908475399016	3.410096162557602	-0.7168053150177003	True
67	sae model	sae	134	3.5724283158779144	3.5185465276241303	0.05388178825378409	False
68	sae model	sae	136	3.3647187650203705	3.410096162557602	-0.045377397537231356	True
69	sae model	sae	138	3.5724283158779144	3.410096162557602	0.1623321533203126	False
70	sae model	sae	140	3.000805991888046	3.7188503444194794	-0.7180443525314333	True
71	sae model	sae	142	3.0078175008296966	3.567124718427658	-0.5593072175979614	True
72	sae model	sae	144	3.000805991888046	3.567124718427658	-0.5663187265396119	True
73	sae model	sae	146	3.7758661210536957	3.7188503444194794	0.05701577663421631	False
74	sae model	sae	148	3.3647187650203705	3.567124718427658	-0.2024059534072875	True
75	sae model	sae	150	3.7758661210536957	3.567124718427658	0.2087414026260377	False
76	sae model	sae	152	3.120744746923447	3.2951649606227873	-0.17442021369934047	True
77	sae model	sae	154	3.380159395933151	3.3604110181331635	0.019748377799987615	False
78	sae model	sae	156	2.6932908475399016	3.52671565413475	-0.8334248065948486	True
79	sae model	sae	158	3.120744746923447	3.536310762166977	-0.4155660152435301	True
80	sae model	sae	160	2.6932908475399016	3.536310762166977	-0.8430199146270754	True
81	sae model	sae	162	3.5724283158779144	3.52671565413475	0.04571266174316424	False
82	sae model	sae	164	3.380159395933151	3.536310762166977	-0.15615136623382586	True
83	sae model	sae	166	3.5724283158779144	3.536310762166977	0.0361175537109375	False
84	sae model	sae	168	3.000805991888046	3.7437237918376924	-0.7429177999496464	True
85	sae model	sae	170	3.120744746923447	3.615313881635666	-0.49456913471221897	True
86	sae model	sae	172	3.000805991888046	3.615313881635666	-0.6145078897476197	True
87	sae model	sae	174	3.7758661210536957	3.7437237918376924	0.03214232921600324	False
88	sae model	sae	176	3.380159395933151	3.615313881635666	-0.23515448570251474	True
89	sae model	sae	178	3.7758661210536957	3.615313881635666	0.16055223941802987	False
90	sae model	sae	180	3.100105232000351	3.284946745634079	-0.18484151363372803	True
91	sae model	sae	182	3.3989841639995575	3.330021399259567	0.06896276473999041	False
92	sae model	sae	184	2.6932908475399016	3.55659641623497	-0.8633055686950684	True
93	sae model	sae	186	3.100105232000351	3.5304990708827972	-0.4303938388824462	True
94	sae model	sae	188	2.6932908475399016	3.5304990708827972	-0.8372082233428957	True
95	sae model	sae	190	3.5724283158779144	3.55659641623497	0.015831899642944514	False
96	sae model	sae	192	3.3989841639995575	3.5304990708827972	-0.13151490688323975	True
97	sae model	sae	194	3.5724283158779144	3.5304990708827972	0.04192924499511719	False
98	sae model	sae	196	3.000805991888046	3.7533370673656465	-0.7525310754776005	True
99	sae model	sae	198	3.100105232000351	3.616797226667404	-0.516691994667053	True
100	sae model	sae	200	3.000805991888046	3.616797226667404	-0.6159912347793579	True
101	sae model	sae	202	3.7758661210536957	3.7533370673656465	0.02252905368804914	False
102	sae model	sae	204	3.3989841639995575	3.616797226667404	-0.2178130626678465	True
103	sae model	sae	206	3.7758661210536957	3.616797226667404	0.15906889438629168	False
104	sae model	sae	208	2.5620473325252533	3.7562881410121918	-1.1942408084869385	True
105	sae model	sae	210	2.783911499381065	4.134461516141892	-1.3505500167608266	True
106	sae model	sae	212	2.955457204580307	2.6932908475399016	0.26216635704040536	False
107	sae model	sae	214	2.955457204580307	2.6932908475399016	0.26216635704040536	False
108	sae model	sae	216	3.305231064558029	3.5724283158779144	-0.26719725131988525	True
109	sae model	sae	218	3.305231064558029	3.5724283158779144	-0.26719725131988525	True
110	sae model	sae	220	3.3679664552211763	3.000805991888046	0.36716046333313024	False
111	sae model	sae	222	3.3679664552211763	3.000805991888046	0.36716046333313024	False
112	sae model	sae	224	3.5706996619701385	3.7758661210536957	-0.20516645908355713	True
113	sae model	sae	226	3.5706996619701385	3.7758661210536957	-0.20516645908355713	True
114	sae model	sae	228	2.6317266881465913	3.7892167985439302	-1.157490110397339	True
115	sae model	sae	230	2.8144274085760115	4.235652464628219	-1.421225056052208	True
116	sae model	sae	232	2.9993726670742036	2.6932908475399016	0.306081819534302	False
117	sae model	sae	234	2.9993726670742036	2.6932908475399016	0.306081819534302	False
118	sae model	sae	236	3.102320045232773	3.5724283158779144	-0.4701082706451416	True
119	sae model	sae	238	3.102320045232773	3.5724283158779144	-0.4701082706451416	True
120	sae model	sae	240	3.384998220205307	3.000805991888046	0.38419222831726074	False
121	sae model	sae	242	3.384998220205307	3.000805991888046	0.38419222831726074	False
